schema_version	analysis_universe	included_mito_tiers	panel	method_branch	category	rds_id	cell_type_high_resolution	row_id	row_label	eligible	count	tested_mito_features	percent	donor_label	contrast_id	contrast_name	sex	apoe_group	group_id	terminal_status	donors_ad	donors_nci	status_message	tested_core_mito	tested_mtdna_noncoding	tested_mito_extended	up_degs	down_degs	unchanged	up_core_mito	down_core_mito	up_mtdna_noncoding	down_mtdna_noncoding	up_mito_extended	down_mito_extended	pair_id	pair_label	first_group	second_group	first_contrast_id	second_contrast_id	jointly_tested_mito_features	jointly_tested_core_mito	jointly_tested_mtdna_noncoding	jointly_tested_mito_extended	first_terminal_status	second_terminal_status	deg_rule	annotation_source	phase09_annotated_sha256
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	astrocytes	Ast CHI3L1	Female__e2	NA	TRUE	9	720	1.25	6/16	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	AD_vs_NCI__Female__e2	Female	e2	Female__e2	validated_complete	6	16	NA	656	0	64	9	3	708	7	3	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	efff37d0eba899891a2948b47fd02cd70a53299c71ad80663bb415c4e46753f8
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	astrocytes	Ast CHI3L1	Female__e33	NA	TRUE	35	742	4.71698113207547	35/43	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	Female	e33	Female__e33	validated_complete	35	43	NA	676	0	66	35	28	679	33	25	0	0	2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	efff37d0eba899891a2948b47fd02cd70a53299c71ad80663bb415c4e46753f8
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	astrocytes	Ast CHI3L1	Female__e4	NA	TRUE	38	724	5.24861878453039	22/11	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	AD_vs_NCI__Female__e4	Female	e4	Female__e4	validated_complete	22	11	NA	658	0	66	38	60	626	36	53	0	0	2	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	efff37d0eba899891a2948b47fd02cd70a53299c71ad80663bb415c4e46753f8
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	astrocytes	Ast CHI3L1	Male__e2	NA	TRUE	13	550	2.36363636363636	6/5	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	AD_vs_NCI__Male__e2	Male	e2	Male__e2	validated_complete	6	5	NA	491	0	59	13	8	529	11	7	0	0	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	efff37d0eba899891a2948b47fd02cd70a53299c71ad80663bb415c4e46753f8
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	astrocytes	Ast CHI3L1	Male__e33	NA	TRUE	23	722	3.18559556786704	25/52	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	AD_vs_NCI__Male__e33	Male	e33	Male__e33	validated_complete	25	52	NA	656	0	66	23	17	682	20	12	0	0	3	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	efff37d0eba899891a2948b47fd02cd70a53299c71ad80663bb415c4e46753f8
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	astrocytes	Ast CHI3L1	Male__e4	NA	TRUE	27	610	4.42622950819672	24/9	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	AD_vs_NCI__Male__e4	Male	e4	Male__e4	validated_complete	24	9	NA	547	0	63	27	40	543	23	39	0	0	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	efff37d0eba899891a2948b47fd02cd70a53299c71ad80663bb415c4e46753f8
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	astrocytes	Ast DPP10	Female__e2	NA	TRUE	13	503	2.5844930417495	8/17	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	AD_vs_NCI__Female__e2	Female	e2	Female__e2	validated_complete	8	17	NA	448	0	55	13	11	479	9	9	0	0	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	efff37d0eba899891a2948b47fd02cd70a53299c71ad80663bb415c4e46753f8
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	astrocytes	Ast DPP10	Female__e33	NA	TRUE	6	550	1.09090909090909	37/45	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	Female	e33	Female__e33	validated_complete	37	45	NA	491	0	59	6	9	535	6	7	0	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	efff37d0eba899891a2948b47fd02cd70a53299c71ad80663bb415c4e46753f8
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	astrocytes	Ast DPP10	Female__e4	NA	TRUE	8	586	1.36518771331058	26/11	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	AD_vs_NCI__Female__e4	Female	e4	Female__e4	validated_complete	26	11	NA	526	0	60	8	35	543	6	29	0	0	2	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	efff37d0eba899891a2948b47fd02cd70a53299c71ad80663bb415c4e46753f8
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	astrocytes	Ast DPP10	Male__e2	NA	TRUE	80	507	15.7790927021696	7/6	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	AD_vs_NCI__Male__e2	Male	e2	Male__e2	validated_complete	7	6	NA	454	0	53	80	35	392	71	31	0	0	9	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	efff37d0eba899891a2948b47fd02cd70a53299c71ad80663bb415c4e46753f8
