schema_version	signature_group	sex	apoe_group	broad_network	current_symbol	case_id	is_core_mito	eligible_run_count	usable_run_count	explicit_run_count	implicit_run_count	missing_run_count	coverage_numerator	coverage_denominator	coverage_fraction	strict_coverage_pass	relaxed_coverage_pass	conservative_support_count	relaxed_support_count	conservative_support_pass	relaxed_support_pass	recurrence_fraction	supporting_fine_cell_type_count	supporting_fine_cell_types	supporting_direction_count	supporting_directions	median_support_fold_enrichment	maximum_support_fold_enrichment	category_acat_p	relaxed_category_acat_q	strict_category_acat_q	studywide_acat_q	missing_as_one_acat_p	missing_as_one_acat_q	mean_log_p_score	strict_non_mt_reference	relaxed_phase20_candidate	exploratory_q20	exploratory_inclusive	terminal_candidate_status	strict_rank	relaxed_rank	exploratory_inclusive_rank	top5_summary	top10_display	stability_assessable_repetitions	stability_nominal_fraction	stability_q_fraction	stability_candidate_fraction	stability_worst_rank	evidence_label	list_status
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e2	Female	e2	Astrocytes	RPL11	case3_not_core_mito	FALSE	2	2	2	0	0	2	2	1.0	TRUE	TRUE	1	1	TRUE	TRUE	0.5	1	Ast GRM3	1	AD_up_mito	33.52	33.52	2.7856620203178965e-08	0.000168727548570655	0.000168727548570655	0.0004622628853316256	2.7856620203178965e-08	0.000168727548570655	4.513075396494513	TRUE	TRUE	FALSE	TRUE	driver_candidate	1	1	1	TRUE	TRUE	0	NA	NA	NA	NA	localized_single_fine_type	ranked_candidates
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e2	Female	e2	Astrocytes	RPL15	case3_not_core_mito	FALSE	2	2	1	1	0	2	2	1.0	TRUE	TRUE	1	1	TRUE	TRUE	0.5	1	Ast GRM3	1	AD_up_mito	20.69	20.69	6.707719786210969e-06	0.014670675967563463	0.014670675967563463	0.028474738472915765	6.707719786210969e-06	0.014670675967563463	2.7372275419518357	TRUE	TRUE	FALSE	TRUE	driver_candidate	2	2	2	TRUE	TRUE	0	NA	NA	NA	NA	localized_single_fine_type	ranked_candidates
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e2	Female	e2	Astrocytes	RPLP1	case3_not_core_mito	FALSE	2	2	2	0	0	2	2	1.0	TRUE	TRUE	1	1	TRUE	TRUE	0.5	1	Ast GRM3	1	AD_up_mito	13.97	13.97	7.2663080572379715e-06	0.014670675967563463	0.014670675967563463	0.030144939548911474	7.2663080572379715e-06	0.014670675967563463	3.1247748537226125	TRUE	TRUE	FALSE	TRUE	driver_candidate	3	3	3	TRUE	TRUE	0	NA	NA	NA	NA	localized_single_fine_type	ranked_candidates
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e2	Female	e2	Astrocytes	FAU	case3_not_core_mito	FALSE	2	2	1	1	0	2	2	1.0	TRUE	TRUE	1	1	TRUE	TRUE	0.5	1	Ast GRM3	1	AD_up_mito	9.42	9.42	1.5612258245970865e-05	0.023640862048961382	0.023640862048961382	0.05354006683332334	1.5612258245970865e-05	0.023640862048961382	2.5537821345499463	TRUE	TRUE	FALSE	TRUE	driver_candidate	4	4	4	TRUE	TRUE	0	NA	NA	NA	NA	localized_single_fine_type	ranked_candidates
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e2	Female	e2	Astrocytes	RPS15	case3_not_core_mito	FALSE	2	2	1	1	0	2	2	1.0	TRUE	TRUE	1	1	TRUE	TRUE	0.5	1	Ast GRM3	1	AD_up_mito	9.86	9.86	5.6441771364913476e-05	0.06837356183145618	0.06837356183145618	0.13556273765011284	5.6441771364913476e-05	0.06837356183145618	2.274714679395763	FALSE	TRUE	FALSE	TRUE	driver_candidate	NA	5	5	TRUE	TRUE	0	NA	NA	NA	NA	localized_single_fine_type	ranked_candidates
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e2	Female	e2	Excitatory_neurons	RPL11	case3_not_core_mito	FALSE	14	14	11	3	0	14	14	1.0	TRUE	TRUE	5	6	TRUE	TRUE	0.42857142857142855	6	Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	1	AD_up_mito	10.120000000000001	13.05	6.0921785939748164e-12	5.395233362824097e-08	4.8981115895557526e-08	3.7068469872899163e-07	6.0921785939748164e-12	5.395233362824097e-08	3.5471661852230563	TRUE	TRUE	FALSE	TRUE	driver_candidate	1	1	1	TRUE	TRUE	12	1.0	1.0	1.0	1	recurrent_stable	ranked_candidates
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e2	Female	e2	Excitatory_neurons	SELENOW	case3_not_core_mito	FALSE	14	14	8	6	0	14	14	1.0	TRUE	TRUE	5	5	TRUE	TRUE	0.35714285714285715	5	Exc L3-4 RORB CUX2|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	1	AD_up_mito	14.9	16.28	1.3621882095386703e-08	6.031769391837232e-05	5.4759966023454543e-05	0.0002486511113927698	1.3621882095386703e-08	6.031769391837232e-05	2.405833939075197	TRUE	TRUE	FALSE	TRUE	driver_candidate	2	2	2	TRUE	TRUE	12	1.0	1.0	1.0	4	recurrent_stable	ranked_candidates
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e2	Female	e2	Excitatory_neurons	RPS13	case3_not_core_mito	FALSE	14	14	11	3	0	14	14	1.0	TRUE	TRUE	3	3	TRUE	TRUE	0.21428571428571427	3	Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	1	AD_up_mito	14.54	16.45	3.773403967365857e-08	0.0001113908851166401	0.00010112722632540497	0.0005298381641500222	3.773403967365857e-08	0.0001113908851166401	1.5804791628194879	TRUE	TRUE	FALSE	TRUE	driver_candidate	3	3	3	TRUE	TRUE	12	1.0	1.0	1.0	3	recurrent_stable	ranked_candidates
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e2	Female	e2	Excitatory_neurons	TMEM147	case3_not_core_mito	FALSE	14	13	9	4	1	13	14	0.9285714285714286	TRUE	TRUE	6	6	TRUE	TRUE	0.46153846153846156	6	Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	1	AD_up_mito	23.950000000000003	42.06	9.267504052354912e-07	0.0020518253971913776	0.0018627683145233374	0.00768941661231255	9.980389212506013e-07	0.002209658171648831	2.8679441527014458	TRUE	TRUE	FALSE	TRUE	driver_candidate	4	4	4	TRUE	TRUE	12	1.0	1.0	1.0	5	recurrent_stable	ranked_candidates
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e2	Female	e2	Excitatory_neurons	RPL6	case3_not_core_mito	FALSE	14	14	11	3	0	14	14	1.0	TRUE	TRUE	4	4	TRUE	TRUE	0.2857142857142857	4	Exc L3-4 RORB CUX2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	1	AD_up_mito	25.825000000000003	40.97	4.94479712098688e-06	0.008758224660691961	0.007951233770546903	0.022543897073529735	4.94479712098688e-06	0.008758224660691961	1.4799886107733367	TRUE	TRUE	FALSE	TRUE	driver_candidate	5	5	5	TRUE	TRUE	12	1.0	1.0	1.0	6	recurrent_stable	ranked_candidates
